Shift,Name,Far,Local,Stay,Bad,Absent
23.03.09 - 2,Pallet truck 07,0.014340,0.043333,0.942222,0.000000,0.000104
23.03.09 - 2,Cart 10,0.000000,0.095139,0.676181,0.000000,0.228681
23.03.09 - 2,Pallet truck 03,0.000000,0.049861,0.948924,0.000000,0.001215
23.03.09 - 2,Forklift 06,0.000000,0.099583,0.802049,0.000000,0.098368
23.03.09 - 2,Pallet truck 02,0.000000,0.096319,0.761563,0.000000,0.142118
23.03.09 - 2,Pallet truck 11,0.000000,0.025174,0.614340,0.000000,0.360486
23.03.09 - 2,Cart 13,0.000000,0.047778,0.952118,0.000000,0.000104
23.03.09 - 2,Pallet truck 08,0.000000,0.020556,0.908819,0.000000,0.070625
23.03.09 - 3,Cart 16,0.000000,0.080486,0.919410,0.000000,0.000104
23.03.09 - 3,Cart 05,0.000000,0.000000,0.929965,0.000000,0.070035
23.03.09 - 3,Cart 09,0.000000,0.000000,0.999896,0.000000,0.000104
23.03.09 - 3,Cart 15,0.000000,0.003194,0.996701,0.000000,0.000104
23.03.09 - 3,Forklift 01,0.000000,0.166528,0.485764,0.295174,0.052535
23.03.09 - 3,Cart 04,0.005729,0.085556,0.847431,0.000000,0.061285
23.03.09 - 3,Cart 12,0.000000,0.048125,0.951771,0.000000,0.000104
23.03.09 - 3,Forklift 17,0.004479,0.270139,0.696910,0.000000,0.028472
23.03.09 - 3,Pallet truck 07,0.000000,0.074236,0.872049,0.000000,0.053715
23.03.09 - 3,Cart 10,0.019479,0.022639,0.957778,0.000000,0.000104
23.03.09 - 3,Pallet truck 03,0.000000,0.002396,0.997500,0.000000,0.000104
23.03.09 - 3,Forklift 06,0.000000,0.049688,0.950208,0.000000,0.000104
23.03.09 - 3,Pallet truck 02,0.000000,0.017222,0.672674,0.310000,0.000104
23.03.09 - 3,Pallet truck 11,0.005139,0.057951,0.908646,0.000000,0.028264
23.03.09 - 3,Cart 13,0.000000,0.038403,0.907708,0.000000,0.053889
23.03.09 - 3,Pallet truck 08,0.000000,0.126250,0.873646,0.000000,0.000104
23.03.10 - 1,Cart 16,0.000000,0.207465,0.696181,0.000000,0.096354
23.03.10 - 1,Cart 05,0.000000,0.040521,0.958993,0.000000,0.000486
23.03.10 - 1,Cart 09,0.000000,0.020590,0.782813,0.141389,0.055208
23.03.10 - 1,Cart 15,0.020729,0.129722,0.849444,0.000000,0.000104
23.03.10 - 1,Forklift 01,0.023819,0.145451,0.558472,0.271736,0.000521
23.03.10 - 1,Cart 04,0.062257,0.174479,0.763160,0.000000,0.000104
23.03.10 - 1,Cart 12,0.000000,0.026944,0.571632,0.000000,0.401424
23.03.10 - 1,Forklift 17,0.093021,0.090313,0.801910,0.000000,0.014757
23.03.10 - 1,Pallet truck 07,0.000000,0.096354,0.903542,0.000000,0.000104
23.03.10 - 1,Cart 10,0.007257,0.018958,0.928681,0.000000,0.045104
23.03.10 - 1,Pallet truck 03,0.000000,0.032292,0.967292,0.000000,0.000417
23.03.10 - 1,Forklift 06,0.022604,0.171563,0.775694,0.000000,0.030139
23.03.10 - 1,Pallet truck 02,0.037674,0.090729,0.595174,0.275868,0.000556
23.03.10 - 1,Pallet truck 11,0.000000,0.054931,0.944965,0.000000,0.000104
23.03.10 - 1,Cart 13,0.005799,0.061146,0.932951,0.000000,0.000104
23.03.10 - 1,Pallet truck 08,0.062500,0.088993,0.798854,0.000000,0.049653
23.03.10 - 2,Cart 16,0.000000,0.238924,0.760972,0.000000,0.000104
23.03.10 - 2,Cart 05,0.000000,0.016076,0.438160,0.000000,0.545764
23.03.10 - 2,Cart 09,0.017674,0.011007,0.971215,0.000000,0.000104
23.03.10 - 2,Cart 15,0.000000,0.071806,0.928090,0.000000,0.000104
23.03.10 - 2,Forklift 01,0.014792,0.221493,0.763611,0.000000,0.000104
23.03.10 - 2,Cart 04,0.012535,0.101806,0.832292,0.000000,0.053368
23.03.10 - 2,Forklift 17,0.000000,0.141840,0.857153,0.000000,0.001007
23.03.10 - 2,Pallet truck 07,0.000000,0.003993,0.995903,0.000000,0.000104
23.03.10 - 2,Cart 10,0.000000,0.059167,0.940729,0.000000,0.000104
23.03.10 - 2,Pallet truck 03,0.000000,0.013507,0.872535,0.000000,0.113958
23.03.10 - 2,Forklift 06,0.000000,0.010347,0.989549,0.000000,0.000104
23.03.10 - 2,Pallet truck 02,0.000000,0.135694,0.864201,0.000000,0.000104
23.03.10 - 2,Pallet truck 11,0.000000,0.047708,0.724514,0.202951,0.024826
23.03.10 - 2,Cart 13,0.000000,0.234896,0.706215,0.000000,0.058889
23.03.10 - 2,Pallet truck 08,0.000000,0.000000,0.999896,0.000000,0.000104
